Loading cuda/11.6.2/gcc/9.4.0/zen2
  Loading requirement: gcc/9.4.0
modules imported
step: 0, loss 83.483
step: 10, loss 535.088
step: 20, loss 1472.228
step: 30, loss 1595.074
step: 40, loss 1191.784
step: 50, loss 253.821
step: 60, loss 107.679
step: 70, loss 87.678
step: 80, loss 79.167
step: 90, loss 73.501
step: 100, loss 70.317
step: 110, loss 68.534
step: 120, loss 68.146
step: 130, loss 65.265
step: 140, loss 59.194
step: 150, loss 58.917
step: 160, loss 57.944
step: 170, loss 51.104
step: 180, loss 51.825
step: 190, loss 46.804
step: 200, loss 52.371
step: 210, loss 47.324
step: 220, loss 46.308
step: 230, loss 45.455
step: 240, loss 40.018
step: 250, loss 41.625
step: 260, loss 37.840
step: 270, loss 37.345
step: 280, loss 39.202
step: 290, loss 35.957
step: 300, loss 41.008
step: 310, loss 36.547
step: 320, loss 34.031
step: 330, loss 42.024
step: 340, loss 38.241
step: 350, loss 41.441
step: 360, loss 37.006
step: 370, loss 36.463
step: 380, loss 36.378
step: 390, loss 35.477
step: 400, loss 36.797
step: 410, loss 30.500
step: 420, loss 34.267
step: 430, loss 35.592
step: 440, loss 32.698
step: 450, loss 38.904
step: 460, loss 36.437
step: 470, loss 31.991
step: 480, loss 34.430
step: 490, loss 37.103
step: 500, loss 36.011
step: 510, loss 32.028
step: 520, loss 33.522
step: 530, loss 36.767
step: 540, loss 36.031
step: 550, loss 30.904
step: 560, loss 33.364
step: 570, loss 38.662
step: 580, loss 36.620
step: 590, loss 38.366
step: 600, loss 32.732
step: 610, loss 36.328
step: 620, loss 32.931
step: 630, loss 34.151
step: 640, loss 34.667
step: 650, loss 28.466
step: 660, loss 31.484
step: 670, loss 35.592
step: 680, loss 34.291
step: 690, loss 30.325
step: 700, loss 32.282
step: 710, loss 35.775
step: 720, loss 34.659
step: 730, loss 36.350
step: 740, loss 27.970
step: 750, loss 34.466
step: 760, loss 31.124
step: 770, loss 26.859
step: 780, loss 30.827
step: 790, loss 34.828
step: 800, loss 30.071
step: 810, loss 30.497
step: 820, loss 29.746
step: 830, loss 31.852
step: 840, loss 30.902
step: 850, loss 28.875
step: 860, loss 28.993
step: 870, loss 31.365
step: 880, loss 31.262
step: 890, loss 31.117
step: 900, loss 28.765
step: 910, loss 26.809
step: 920, loss 29.476
step: 930, loss 27.686
step: 940, loss 25.660
step: 950, loss 23.058
step: 960, loss 25.353
step: 970, loss 26.893
step: 980, loss 27.957
step: 990, loss 24.391
step: 1000, loss 24.215
step: 1010, loss 22.551
step: 1020, loss 25.400
step: 1030, loss 25.699
step: 1040, loss 23.574
step: 1050, loss 22.227
step: 1060, loss 25.564
step: 1070, loss 23.963
step: 1080, loss 24.393
step: 1090, loss 22.685
step: 1100, loss 23.817
step: 1110, loss 18.678
step: 1120, loss 20.496
step: 1130, loss 27.509
step: 1140, loss 24.996
step: 1150, loss 20.784
step: 1160, loss 20.658
slurmstepd: error: *** JOB 1395580 ON gpu-b9-4 CANCELLED AT 2023-03-28T20:29:04 ***
